model,prompt,bleu,meteor,rouge_l,bertscore
mistral,cot,0.007237759448286106,0.14681136186914706,0.08406435921590832,-0.07328257709741592
codellama,cot,0.004406965879619138,0.10210067209738548,0.052522275314768045,-0.1392822414636612
codellama,fewshot,0.00977839684770597,0.14102582778678743,0.09218717002427045,-0.00022069716942496598
mistral,baseline,0.017519010926510852,0.13662536546426085,0.17187552326203806,0.1357375532388687
mistral,fewshot,0.019582712295750274,0.1461815314268648,0.1808963600317275,0.15020382404327393
phi3.5,baseline,0.013181088667666983,0.13525377679910489,0.1287767298084291,0.0559103824198246
phi3.5,fewshot,0.013739692135824612,0.1423338725700998,0.1254188872631236,0.046496011316776276
codellama,baseline,0.013597872310760406,0.13838181595756802,0.12687911544002317,0.04088939353823662
phi3.5,cot,0.0038834792159875863,0.11670008821952832,0.053594046973365096,-0.1344137042760849
